[10:15:22] [INFO] received Windows console close event; shutting log-core down
[10:48:31] [INFO] received Windows console close event; shutting log-core down
[11:04:18] [INFO] received Windows console close event; shutting log-core down
[11:16:21] [INFO] received Windows console close event; shutting log-core down
[11:33:48] [INFO] received Windows console close event; shutting log-core down
[11:42:46] [INFO] received Windows console close event; shutting log-core down
[16:57:21] [INFO] received Windows console close event; shutting log-core down
[17:27:41] [INFO] received Windows console close event; shutting log-core down
[17:33:12] [INFO] received Windows console close event; shutting log-core down
[17:37:44] [INFO] received Windows console close event; shutting log-core down
[17:43:46] [INFO] received Windows console close event; shutting log-core down
[17:49:22] [INFO] received Windows console close event; shutting log-core down
[17:50:53] [INFO] received Windows console close event; shutting log-core down
[19:25:36] [INFO] received Windows console close event; shutting log-core down
[19:33:51] [INFO] received Windows console close event; shutting log-core down
[19:41:25] [INFO] received Windows console close event; shutting log-core down
[19:47:46] [INFO] received Windows console close event; shutting log-core down
[20:39:53] [INFO] received Windows console close event; shutting log-core down
[20:50:01] [INFO] received Windows console close event; shutting log-core down
[20:51:40] [INFO] received Windows console close event; shutting log-core down
[20:54:42] [INFO] received Windows console close event; shutting log-core down
[21:36:12] [INFO] received Windows console close event; shutting log-core down
[21:50:34] [INFO] received Windows console close event; shutting log-core down
[21:54:21] [INFO] received Windows console close event; shutting log-core down
[21:58:57] [INFO] received Windows console close event; shutting log-core down
[22:21:42] [INFO] received Windows console close event; shutting log-core down
[22:26:09] [INFO] received Windows console close event; shutting log-core down
